Date,Price,Open,High,Low,Change %
2023-03-09,56.9794,55.0201,56.9794,53.8186,3.56
2023-03-10,61.7286,56.9794,62.7757,56.9794,8.34
2023-03-11,69.0675,61.7286,69.0675,60.626,11.89
2023-03-12,69.4788,69.0675,69.7408,66.2331,0.6
2023-03-13,70.2933,69.4788,70.6553,64.0274,1.17
2023-03-14,67.8005,70.2933,70.2933,67.5129,-3.55
2023-03-15,68.8424,67.8005,69.8115,67.8005,1.54
2023-03-16,64.8125,68.8424,68.8424,63.5098,-5.85
2023-03-17,69.0287,64.8125,69.0287,64.8125,6.51
2023-03-18,70.9632,69.0287,70.9632,68.8945,2.8
2023-03-19,75.6396,70.9632,75.6396,70.9632,6.59
2023-03-20,74.0335,75.6396,75.9552,74.0335,-2.12
2023-03-21,73.8463,74.0335,74.0335,71.9057,-0.25
2023-03-22,71.0888,73.8463,74.5658,71.0888,-3.73
2023-03-23,69.4023,71.0888,71.0888,67.7199,-2.37
2023-03-24,70.3562,69.4023,70.7013,69.4023,1.37
2023-03-25,67.6511,70.3562,70.3562,67.6511,-3.84
2023-03-26,66.9855,67.6511,67.6511,66.5898,-0.98
2023-03-27,67.541,67.0621,67.8147,66.9669,0.83
2023-03-28,66.4088,67.541,67.541,66.4088,-1.68
2023-03-29,68.0507,66.3936,68.0507,66.2036,2.47
2023-03-30,67.9125,68.0507,68.7725,67.9125,-0.2
2023-03-31,64.0609,67.9125,67.9125,64.0609,-5.67
2023-04-01,62.5956,64.0609,64.0609,62.538,-2.29
2023-04-02,63.7528,62.5956,63.7528,62.5956,1.85
2023-04-03,64.4068,63.7528,64.4068,63.3535,1.03
2023-04-04,64.5474,64.4068,64.7444,64.3623,0.22
2023-04-05,63.289,64.5474,64.5474,63.289,-1.95
2023-04-06,62.7787,63.289,63.289,62.4093,-0.81
2023-04-07,59.6514,62.7787,62.7787,59.6514,-4.98
2023-04-08,59.0534,59.6514,59.6514,58.8755,-1.0
2023-04-09,60.6086,59.0534,60.6086,58.8266,2.63
2023-04-10,63.9157,60.6086,63.9157,60.6086,5.46
2023-04-11,64.1383,63.9157,65.0068,63.9157,0.35
2023-04-12,60.9653,64.1383,64.1383,60.9653,-4.95
2023-04-13,60.1441,60.9653,60.9653,59.9791,-1.35
2023-04-14,59.2931,60.1441,60.9213,59.2931,-1.41
2023-04-15,58.2127,59.2931,59.2931,58.0415,-1.82
2023-04-16,60.0389,58.2127,60.0389,58.2127,3.14
2023-04-17,60.4748,60.0389,60.5681,59.8311,0.73
2023-04-18,60.0577,60.4748,60.4748,60.0577,-0.69
2023-04-19,59.2956,60.0577,60.0577,59.2438,-1.27
2023-04-20,58.1748,59.3382,59.3382,57.156,-1.89
2023-04-21,58.5037,58.1748,58.7659,58.0261,0.57
2023-04-22,58.3107,58.5037,58.5471,57.932,-0.33
2023-04-23,58.5435,58.3107,58.5435,58.3107,0.4
2023-04-24,58.5435,58.5435,58.5435,58.5435,0.0
2023-04-25,58.5435,58.5435,58.5435,58.5435,0.0
2023-04-26,59.6875,58.5435,59.7514,58.5435,1.95
2023-04-27,58.6078,59.6875,59.6875,58.3255,-1.81
2023-04-28,55.5718,58.6212,58.6212,55.5718,-5.18
2023-04-29,54.4996,55.4565,55.4565,54.4374,-1.93
2023-04-30,55.3213,54.4996,55.3213,54.0222,1.51
2023-05-01,56.8302,55.3401,56.8615,55.3401,2.73
2023-05-02,56.2876,56.805,57.2111,55.8005,-0.95
2023-05-03,56.8351,56.3466,57.6131,56.3466,0.97
2023-05-04,55.874,56.7555,56.7555,55.874,-1.69
2023-05-05,54.7415,55.7213,55.7213,54.6475,-2.03
2023-05-06,53.9869,54.7481,54.7729,53.9869,-1.38
2023-05-07,54.1678,53.9435,54.1678,53.6151,0.33
2023-05-08,54.457,54.2193,54.457,54.1967,0.53
2023-05-09,54.8518,54.4629,54.8518,54.4046,0.73
2023-05-10,54.3863,54.8518,55.0657,54.3863,-0.85
2023-05-11,54.0216,54.3863,54.3863,52.8086,-0.67
2023-05-12,54.2578,54.0216,54.5588,54.0216,0.44
2023-05-13,52.0551,54.2578,54.2578,52.0551,-4.06
2023-05-14,51.4476,52.0279,52.0279,51.4422,-1.17
2023-05-15,53.6904,51.4476,53.6904,51.4441,4.36
2023-05-16,53.2538,53.8039,54.0279,53.2538,-0.81
2023-05-17,52.5016,53.2213,53.2213,52.5016,-1.41
2023-05-18,49.9468,52.4365,52.4365,49.9468,-4.87
2023-05-19,48.8463,49.8517,49.8517,48.3828,-2.2
