Date,Price
2023-04-23,58.5435
2023-04-22,58.3107
2023-04-21,58.5037
2023-04-20,58.1748
2023-04-19,59.2956
2023-04-18,60.0577
2023-04-17,60.4748
2023-04-16,60.0389
2023-04-15,58.2127
2023-04-14,59.2931
2023-04-13,60.1441
2023-04-12,60.9653
2023-04-11,64.1383
2023-04-10,63.9157
2023-04-09,60.6086
2023-04-08,59.0534
2023-04-07,59.6514
2023-04-06,62.7787
2023-04-05,63.2890
2023-04-04,64.5474
2023-04-03,64.4068
2023-04-02,63.7528
2023-04-01,62.5956
2023-03-31,64.0609
2023-03-30,67.9125
2023-03-29,68.0507
2023-03-28,66.4088
2023-03-27,67.5410
2023-03-26,66.9855
2023-03-25,67.6511
2023-03-24,70.3562
2023-03-23,69.4023
2023-03-22,71.0888
2023-03-21,73.8463
2023-03-20,74.0335
2023-03-19,75.6396
2023-03-18,70.9632
2023-03-17,69.0287
2023-03-16,64.8125
2023-03-15,68.8424
2023-03-14,67.8005
2023-03-13,70.2933
2023-03-12,69.4788
2023-03-11,69.0675
2023-03-10,61.7286
2023-03-09,56.9794
2023-03-08,55.0201
2023-03-07,55.2911
2023-03-06,55.5683
2023-03-05,55.0578
2023-03-04,54.9755
2023-03-03,55.9304
2023-03-02,57.6829
2023-03-01,57.4804
2023-02-28,53.5366
2023-02-27,54.4001
2023-02-26,54.8623
2023-02-25,53.5138
2023-02-24,56.8711
2023-02-23,60.2617
2023-02-22,63.2560
2023-02-21,65.8173
2023-02-20,65.8546
2023-02-19,64.7783
2023-02-18,64.5287
2023-02-17,64.8248
2023-02-16,62.3919
2023-02-15,56.2185
2023-02-14,56.1444
2023-02-13,57.7929
2023-02-12,55.0196
2023-02-11,55.6031
2023-02-10,57.0997
2023-02-09,58.3403
2023-02-08,60.1707
2023-02-07,61.0252
2023-02-06,62.1089
2023-02-05,62.1034
2023-02-04,60.9463
2023-02-03,61.3342
2023-02-02,62.4135
2023-02-01,63.5882
2023-01-31,62.2067
2023-01-30,61.0527
2023-01-29,61.0527
2023-01-28,62.2004
2023-01-27,62.2004
2023-01-26,63.0368
2023-01-25,65.2547
2023-01-24,68.6485
2023-01-23,69.0850
2023-01-22,67.5602
2023-01-21,68.9023
2023-01-20,62.4752
2023-01-19,65.8606
2023-01-18,69.9282
2023-01-17,71.4456
2023-01-16,73.7570
2023-01-15,75.1788
2023-01-14,72.7205
2023-01-13,63.3285
2023-01-12,57.5657
2023-01-11,55.0333
2023-01-10,53.4904
2023-01-09,52.9120
2023-01-08,50.9188
2023-01-07,50.5121
2023-01-06,51.5174
2023-01-05,52.4527
2023-01-04,51.5445
2023-01-03,56.5966
2023-01-02,56.0836
2023-01-01,56.6265
2022-12-31,57.6468
2022-12-30,59.9845
2022-12-29,64.2547
2022-12-28,65.4559
2022-12-27,65.6062
2022-12-26,65.8890
2022-12-25,67.2479
2022-12-24,65.4059
2022-12-23,65.2533
2022-12-22,67.6650
2022-12-21,70.5581
2022-12-20,72.3852
2022-12-19,74.6877
2022-12-18,76.2086
2022-12-17,74.3491
2022-12-16,69.3716
2022-12-15,67.0595
2022-12-14,71.5837
2022-12-13,74.7099
2022-12-12,75.6253
2022-12-11,75.1086
2022-12-10,72.5617
2022-12-09,70.2922
2022-12-08,70.7990
2022-12-07,72.7896
2022-12-06,72.1788
2022-12-05,74.2169
2022-12-04,76.0645
2022-12-03,74.1215
2022-12-02,74.6303
2022-12-01,77.8832
2022-11-30,80.5483
2022-11-29,81.8803
2022-11-28,83.6974
2022-11-27,79.5217
2022-11-26,79.2243
2022-11-25,82.4180
2022-11-24,87.3177
2022-11-23,90.9644
2022-11-22,96.9294
2022-11-21,98.7164
2022-11-20,96.0390
2022-11-19,88.4364
2022-11-18,90.2061
2022-11-17,97.4751
2022-11-16,105.9794
2022-11-15,98.3880
2022-11-14,106.8903
2022-11-13,116.7705
2022-11-12,110.8961
2022-11-11,109.0541
2022-11-10,105.0773
2022-11-09,124.9242
2022-11-08,94.7384
2022-11-07,67.9828
2022-11-06,64.6916
2022-11-05,65.4523
2022-11-04,65.7589
2022-11-03,63.1652
2022-11-02,69.1599
2022-11-01,70.8325
2022-10-31,71.2472
2022-10-30,70.2716
2022-10-29,67.7589
2022-10-28,65.8785
2022-10-27,71.4424
2022-10-26,73.9597
2022-10-25,71.3982
2022-10-24,68.7443
2022-10-23,67.7652
2022-10-22,66.5972
2022-10-21,67.0169
2022-10-20,66.4840
2022-10-19,66.3248
2022-10-18,66.9890
2022-10-17,66.3176
2022-10-16,68.3860
2022-10-15,68.5306
2022-10-14,69.2408
2022-10-13,75.3604
2022-10-12,77.2607
2022-10-11,76.7960
2022-10-10,75.3804
2022-10-09,72.7205
2022-10-08,71.5884
2022-10-07,74.0269
2022-10-06,76.8941
2022-10-05,78.2880
2022-10-04,77.9405
2022-10-03,79.4898
2022-10-02,81.2155
2022-10-01,79.4371
2022-09-30,81.7542
2022-09-29,86.8755
2022-09-28,86.2669
2022-09-27,84.1344
2022-09-26,83.5452
2022-09-25,81.2817
2022-09-24,81.6981
2022-09-23,84.3481
2022-09-22,84.0878
2022-09-21,84.3463
2022-09-20,81.3362
2022-09-19,80.8800
2022-09-18,80.7286
2022-09-17,79.3257
2022-09-16,82.7926
2022-09-15,86.6670
2022-09-14,92.2182
2022-09-13,93.5396
2022-09-12,91.4296
2022-09-11,90.6972
2022-09-10,89.4923
2022-09-09,88.5439
2022-09-08,90.8874
2022-09-07,91.6513
2022-09-06,90.6170
2022-09-05,89.0960
2022-09-04,88.8211
2022-09-03,88.5114
2022-09-02,88.5210
2022-09-01,90.6502
2022-08-31,88.3551
2022-08-30,88.1285
2022-08-29,87.4478
2022-08-28,87.0457
2022-08-27,85.4892
2022-08-26,85.6761
2022-08-25,87.2644
2022-08-24,87.4089
2022-08-23,90.0764
2022-08-22,91.4555
2022-08-21,89.6662
2022-08-20,90.2539
2022-08-19,89.8957
2022-08-18,85.5450
2022-08-17,85.7843
2022-08-16,82.8716
2022-08-15,81.9541
2022-08-14,83.6319
2022-08-13,82.5851
2022-08-12,81.4196
2022-08-11,82.8619
2022-08-10,84.9474
2022-08-09,86.6456
2022-08-08,86.5567
2022-08-07,84.9375
2022-08-06,84.2597
2022-08-05,84.9158
2022-08-04,85.6089
2022-08-03,87.2405
2022-08-02,88.6354
2022-08-01,89.5967
2022-07-31,89.8663
2022-07-30,88.3842
2022-07-29,87.4458
2022-07-28,87.8957
2022-07-27,88.9804
2022-07-26,91.6135
2022-07-25,91.8003
2022-07-24,91.5056
2022-07-23,91.8444
2022-07-22,92.8129
2022-07-21,92.4262
2022-07-20,92.8795
2022-07-19,92.3779
2022-07-18,90.8560
2022-07-17,89.5340
2022-07-16,87.1796
2022-07-15,84.6758
2022-07-14,87.7600
2022-07-13,89.2273
2022-07-12,89.9023
2022-07-11,84.7278
2022-07-10,81.8308
2022-07-09,81.6227
2022-07-08,86.0835
2022-07-07,87.8212
2022-07-06,89.7892
2022-07-05,92.1531
2022-07-04,94.7455
2022-07-03,98.2686
2022-07-02,97.7724
2022-07-01,99.0956
2022-06-30,101.3118
2022-06-29,96.5111
2022-06-28,93.3455
2022-06-27,94.8549
2022-06-26,94.2560
2022-06-25,94.2596
2022-06-24,95.5631
2022-06-23,99.7185
2022-06-22,103.1445
2022-06-21,102.6686
2022-06-19,115.7285
2022-06-18,124.9534
2022-06-17,112.3579
2022-06-16,119.4114
2022-06-15,107.5388
2022-06-14,110.2434
2022-06-13,111.7770
2022-06-12,89.0530
2022-06-11,82.4088
2022-06-10,79.8375
2022-06-09,76.8649
2022-06-08,77.2158
2022-06-07,76.2855
2022-06-06,73.3788
2022-06-05,76.8360
2022-06-04,76.5519
2022-06-03,77.1565
2022-06-02,78.6177
2022-06-01,80.9747
2022-05-31,78.4282
2022-05-30,80.5318
2022-05-29,85.9755
2022-05-28,85.7626
2022-05-27,88.0332
2022-05-26,85.6575
2022-05-25,86.2371
2022-05-24,86.1739
2022-05-23,86.3979
2022-05-22,86.8117
2022-05-21,88.0566
2022-05-20,93.2345
2022-05-19,94.5337
2022-05-18,99.1826
2022-05-17,93.2841
2022-05-16,99.0409
2022-05-15,96.6085
2022-05-14,98.4352
2022-05-13,102.0421
2022-05-12,124.9045
2022-05-11,90.7095
2022-05-10,82.1866
2022-05-09,83.0436
2022-05-08,70.4306
2022-05-07,67.4724
2022-05-06,65.1145
2022-05-05,66.8081
2022-05-04,65.2984
2022-05-03,67.7381
2022-05-02,65.4770
2022-05-01,64.9382
2022-04-30,64.0758
2022-04-29,63.6490
2022-04-28,66.0885
2022-04-27,68.4299
2022-04-26,69.3572
2022-04-25,68.8976
2022-04-24,64.4238
2022-04-23,63.0191
2022-04-22,63.6291
2022-04-21,65.0501
2022-04-20,64.1883
2022-04-19,64.1775
2022-04-18,65.7238
2022-04-17,64.8551
2022-04-16,62.7871
2022-04-15,62.9491
2022-04-14,64.5535
2022-04-13,66.4795
2022-04-12,67.8512
2022-04-11,69.8499
2022-04-10,64.4398
2022-04-09,64.1910
2022-04-08,66.0177
2022-04-07,66.9865
2022-04-06,69.4915
2022-04-05,66.1758
2022-04-04,64.8156
2022-04-03,63.6506
2022-04-02,63.6119
2022-04-01,64.1978
2022-03-31,67.4900
2022-03-30,65.7881
2022-03-29,66.1419
2022-03-28,67.0666
2022-03-27,70.3508
2022-03-26,67.9795
2022-03-25,66.0956
2022-03-24,70.1916
2022-03-23,72.7684
2022-03-22,74.3996
2022-03-21,75.0932
2022-03-20,75.7235
2022-03-19,74.0705
2022-03-18,74.1809
2022-03-17,78.6925
2022-03-16,83.8081
2022-03-15,86.5849
2022-03-14,84.9316
2022-03-13,84.5336
2022-03-12,83.4324
2022-03-11,82.2633
2022-03-10,83.2416
2022-03-09,83.8191
2022-03-08,83.6887
2022-03-07,83.2068
2022-03-06,80.2957
2022-03-03,77.9048
2022-03-02,77.6606
2022-03-01,80.0293
2022-02-28,80.3520
2022-02-27,83.9199
2022-02-26,75.3545
2022-02-25,75.8244
2022-02-24,85.0618
2022-02-23,79.2259
2022-02-22,80.5631
2022-02-21,82.0550
2022-02-20,78.7691
2022-02-19,72.0751
2022-02-18,72.9403
2022-02-17,75.4344
2022-02-16,72.0302
2022-02-15,74.3348
2022-02-14,75.7385
2022-02-13,76.4088
2022-02-12,75.9400
2022-02-11,76.4358
2022-02-10,74.5074
2022-02-09,74.4356
2022-02-08,74.0052
2022-02-07,74.6252
2022-02-06,74.0442
2022-02-05,72.5816
2022-02-04,75.1229
2022-02-03,78.4624
2022-02-02,78.9396
2022-02-01,76.5963
2022-01-31,75.9168
2022-01-30,77.7419
2022-01-29,78.0389
2022-01-28,79.1523
2022-01-27,83.3381
2022-01-26,85.3457
2022-01-25,85.0296
2022-01-24,84.2380
2022-01-23,81.6790
2022-01-22,85.0943
2022-01-21,78.9697
2022-01-20,66.9205
2022-01-19,68.4824
2022-01-18,69.6556
2022-01-17,67.7910
2022-01-16,65.9603
2022-01-15,65.1827
2022-01-14,67.1179
2022-01-13,69.8266
2022-01-12,73.8256
2022-01-11,77.7343
2022-01-10,76.7577
2022-01-09,75.4997
2022-01-08,74.8762
2022-01-07,76.6271
2022-01-06,75.5712
2022-01-05,78.6600
2022-01-04,74.2772
2022-01-03,74.2507
2022-01-02,74.8621
2022-01-01,73.9534
2021-12-31,78.5773
2021-12-30,83.6497
2021-12-29,83.2783
2021-12-28,81.9361
2021-12-27,85.4648
2021-12-26,83.3174
2021-12-25,83.9839
2021-12-24,86.3596
2021-12-23,86.9144
2021-12-22,89.0496
2021-12-21,91.0278
2021-12-20,92.2793
2021-12-19,92.1421
2021-12-18,91.6250
2021-12-17,90.8870
2021-12-16,92.0055
2021-12-15,96.6610
2021-12-14,98.3480
2021-12-13,97.6820
2021-12-12,99.0416
2021-12-11,96.1133
2021-12-10,96.7701
2021-12-09,96.8859
2021-12-08,94.4080
2021-12-07,93.4522
2021-12-06,94.8110
2021-12-05,96.7778
2021-12-04,93.6872
2021-12-03,91.8809
2021-12-02,92.2813
2021-12-01,91.3354
2021-11-30,92.2519
2021-11-29,90.1097
2021-11-28,92.4670
2021-11-27,90.8839
2021-11-26,92.4546
2021-11-25,93.7920
2021-11-24,97.0597
2021-11-23,96.7036
2021-11-22,96.2400
2021-11-21,92.6561
2021-11-20,92.7450
2021-11-19,93.1350
2021-11-18,95.4881
2021-11-17,95.5678
2021-11-16,94.3373
2021-11-15,90.8929
2021-11-14,91.8779
2021-11-13,92.7076
2021-11-12,94.4196
2021-11-11,91.1132
2021-11-10,92.0513
2021-11-09,91.1568
2021-11-08,93.7401
2021-11-07,92.1787
2021-11-06,93.3101
2021-11-05,91.3696
2021-11-04,92.4131
2021-11-03,93.4550
2021-11-02,94.7677
2021-11-01,92.9144
2021-10-31,94.1733
2021-10-30,93.3286
2021-10-29,93.6499
2021-10-28,94.7656
2021-10-27,93.6725
2021-10-26,91.4682
2021-10-25,90.7418
2021-10-24,93.7640
2021-10-23,91.3902
2021-10-22,91.0919
2021-10-21,96.2044
2021-10-20,98.2661
2021-10-19,95.0357
2021-10-18,94.1606
2021-10-17,90.9894
2021-10-16,87.8162
2021-10-15,94.1820
2021-10-14,98.3841
2021-10-13,95.7939
2021-10-12,94.5751
2021-10-11,91.4522
2021-10-10,90.7525
2021-10-09,89.5417
2021-10-08,90.3897
2021-10-07,90.6366
2021-10-06,92.3804
2021-10-05,92.8684
2021-10-04,90.1717
2021-10-03,87.3408
2021-10-02,86.3403
2021-10-01,89.0207
2021-09-30,93.2836
2021-09-29,93.7562
2021-09-28,94.0019
2021-09-27,91.4585
2021-09-26,88.8945
2021-09-25,88.4235
2021-09-24,89.8998
2021-09-23,88.2051
2021-09-22,93.2299
2021-09-21,95.3672
